"Laboratory","Facility","Country","City","Sample Population","Sample Sub-Population","Reference Sample Type","Sample Set","Reference Method","Repeats","Blinding","Test Type","Test Format","Use Case","Test Name","Manufacturer","Catalog Number","Lot Number","Index Sample Type","Target","Antigen Used for Detection","RNA Extraction Kit","Estimated LoD","LoD Unit","Higher Cut-off","Lower Cut-off","Ct Value","Days of Sickness","Total Positive","Total Negative","True Positive","True Negative","Sensitivity","Specificity","Link to Publication","DOI","Comments"
"Institut Pasteur","Private Laboratory","France","Paris","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","Molecular","Manual PCR","Not available","TaqMan? 2019-nCoV Assay Kit v1","Thermo Fisher Scientific","Not available","Not available","Nasopharyngeal swabs","Frozen RNA","Not available","Extraction NucleoSpin Dx Virus (Réf. Macherey Nagel 740895.50)","Not available","Not available","Not available","Not available","Not available","Overall","8","1","8","1","100","100","https://www.sfm-microbiologie.org/wp-content/uploads/2020/04/RESULTATS-Thermo-v1.pdf","Not available","Samples tested were a serial dilution pool of samples."
"Institut Pasteur","Private Laboratory","France","Paris","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","Molecular","Manual PCR","Not available","TaqPath COVID-19 Combo Kit","Thermo Fisher Scientific","Not available","Not available","Nasopharyngeal swabs","Frozen RNA","Not available","Extraction NucleoSpin Dx Virus (Réf. Macherey Nagel 740895.50)","Not available","Not available","Not available","Not available","Not available","Overall","8","1","8","1","100","100","https://www.sfm-microbiologie.org/wp-content/uploads/2020/04/RESULTATS-Thermo-v2.pdf","Not available","Samples tested were a serial dilution pool of samples; performance when amplified on QuantStudio 5/6/7/12"
"Institut Pasteur","Private Laboratory","France","Paris","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","Molecular","Manual PCR","Not available","RIDAü¾¼ GENE SARS-CoV-2 RUO (PG6815RUO)","R-Biopharm AG","Not available","Not available","Nasopharyngeal swabs","Frozen RNA","Not available","Extraction NucleoSpin Dx Virus (Réf. Macherey Nagel 740895.50)","Not available","Not available","Not available","Not available","Not available","Overall","8","1","8","1","100","100","https://www.sfm-microbiologie.org/wp-content/uploads/2020/04/RESULTATS-RIDAgene.pdf","Not available","Samples tested were a serial dilution pool of samples; performance when amplified on ABI 7500 Fast"
"Institut Pasteur","Private Laboratory","France","Paris","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","Molecular","Manual PCR","Not available","RIDAü¾¼ GENE SARS-CoV-2 RUO (PG6815RUO)","R-Biopharm AG","Not available","Not available","Nasopharyngeal swabs","Frozen RNA","Not available","Extraction NucleoSpin Dx Virus (Réf. Macherey Nagel 740895.50)","Not available","Not available","Not available","Not available","Not available","Overall","8","1","7","1","87.5","100","https://www.sfm-microbiologie.org/wp-content/uploads/2020/04/RESULTATS-RIDAgene.pdf","Not available","Samples tested were a serial dilution pool of samples; performance when amplified on LightCycler 480"
"Institut Pasteur","Private Laboratory","France","Paris","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","Molecular","Manual PCR","Not available","genesig Real-Time PCR COVID-19","Novacyt/primerdesign","Not available","Not available","Nasopharyngeal swabs","Frozen RNA","Not available","Extraction NucleoSpin Dx Virus (Réf. Macherey Nagel 740895.50)","Not available","Not available","Not available","Not available","Not available","Overall","8","1","8","1","100","100","https://www.sfm-microbiologie.org/wp-content/uploads/2020/04/RESULTATS-genesig.pdf","Not available","Serial dilution of pooled samples"
"Institut Pasteur","Private Laboratory","France","Paris","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","Molecular","Manual PCR","Not available","TaqPath COVID-19 Combo Kit","Thermo Fisher Scientific","Not available","Not available","Nasopharyngeal swabs","Frozen RNA","Not available","Extraction NucleoSpin Dx Virus (Réf. Macherey Nagel 740895.50)","Not available","Not available","Not available","Not available","Not available","Overall","8","1","7","1","87.5","100","https://www.sfm-microbiologie.org/wp-content/uploads/2020/04/RESULTATS-Thermo-v2.pdf","Not available","Samples tested were a serial dilution pool of samples; performance when amplified on LightCycler 480/ABI 7500 Fast"
"General Hospital of Central Theater Command of PLA","Hospital","China","Wuhan","Symptomatic patients","Not available","Pharyngeal swabs","Prospectively collected set","Clinical examination; RT-PCR","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Zhuhai Lizhu Reagent Co., Ltd.","Not available","Not available","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Early (~1-7)","58","Not available","22","Not available","37.9","Not available","https://www.medrxiv.org/content/10.1101/2020.03.06.20031856v1.full.pdf","10.1101/2020.03.06.20031856","Not available"
"General Hospital of Central Theater Command of PLA","Hospital","China","Wuhan","Symptomatic patients","Not available","Pharyngeal swabs","Prospectively collected set","Clinical examination; RT-PCR","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Zhuhai Lizhu Reagent Co., Ltd.","Not available","Not available","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Intermediate (~8-14)","69","Not available","53","Not available","76.8","Not available","https://www.medrxiv.org/content/10.1101/2020.03.06.20031856v1.full.pdf","10.1101/2020.03.06.20031856","Not available"
"General Hospital of Central Theater Command of PLA","Hospital","China","Wuhan","Symptomatic patients","Not available","Pharyngeal swabs","Prospectively collected set","Clinical examination; RT-PCR","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Zhuhai Lizhu Reagent Co., Ltd.","Not available","Not available","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","111","Not available","92","Not available","82.9","Not available","https://www.medrxiv.org/content/10.1101/2020.03.06.20031856v1.full.pdf","10.1101/2020.03.06.20031856","Not available"
"General Hospital of Central Theater Command of PLA","Hospital","China","Wuhan","Symptomatic patients","Not available","Pharyngeal swabs","Prospectively collected set","Clinical examination; RT-PCR","Not available","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Detection of current infection","2019-nCoV IgG/IgM Antibody Detection Kit","Zhuhai Lizhu Reagent Co., Ltd.","Not available","Not available","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","238","120","167","117","70.2","97.5","https://www.medrxiv.org/content/10.1101/2020.03.06.20031856v1.full.pdf","10.1101/2020.03.06.20031856","Not available"
"The Key Laboratory of Clinical In Vitro Diagnostic Techniques of Zhejiang Province","Hospital","China","Hangshou","Confirmed COVID-19 patients","Not available","Not available","Prospectively collected set","RT-PCR","No replicates","Not blinded to reference results","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Not available","Wantai SARS-CoV-2 Ab ELISA","Beijing Wantai Biological Pharmacy Enterprise Co., Ltd","Not available","Not available","Plasma","Total Ig","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Early (~1-7)","39","Not available","25","Not available","64.1","Not available","https://www.medrxiv.org/content/10.1101/2020.03.23.20041707v1.full.pdf","10.1101/2020.03.23.20041707","Not available"
"The Key Laboratory of Clinical In Vitro Diagnostic Techniques of Zhejiang Province","Hospital","China","Hangshou","Confirmed COVID-19 patients","Not available","Not available","Prospectively collected set","RT-PCR","No replicates","Not blinded to reference results","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Not available","Wantai SARS-CoV-2 Ab ELISA","Beijing Wantai Biological Pharmacy Enterprise Co., Ltd","Not available","Not available","Plasma","Total Ig","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Intermediate (~8-14)","75","Not available","74","Not available","98.7","Not available","https://www.medrxiv.org/content/10.1101/2020.03.23.20041707v1.full.pdf","10.1101/2020.03.23.20041707","Not available"
"The Key Laboratory of Clinical In Vitro Diagnostic Techniques of Zhejiang Province","Hospital","China","Hangshou","Confirmed COVID-19 patients","Not available","Not available","Prospectively collected set","RT-PCR","No replicates","Not blinded to reference results","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Not available","Wantai SARS-CoV-2 Ab ELISA","Beijing Wantai Biological Pharmacy Enterprise Co., Ltd","Not available","Not available","Plasma","Total Ig","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","60","Not available","60","Not available","100","Not available","https://www.medrxiv.org/content/10.1101/2020.03.23.20041707v1.full.pdf","10.1101/2020.03.23.20041707","Not available"
"The Key Laboratory of Clinical In Vitro Diagnostic Techniques of Zhejiang Province","Hospital","China","Hangshou","Confirmed COVID-19 patients","Not available","Not available","Prospectively collected set","RT-PCR","No replicates","Not blinded to reference results","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Not available","Wantai SARS-CoV-2 Ab ELISA","Beijing Wantai Biological Pharmacy Enterprise Co., Ltd","Not available","Not available","Plasma","Total Ig","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","80","300","78","300","97.5","100","https://www.medrxiv.org/content/10.1101/2020.03.23.20041707v1.full.pdf","10.1101/2020.03.23.20041707","Not available"
"Bacteriology and Hygiene Bicetre Laboratory Hospital","Hospital","France","Kremlin-Bictre","Confirmed COVID-19 patients","Mild; Moderate; Severe; Critical","Nasopharyngeal swabs","Retrospective set","RT-PCR","No replicates","Blinded to reference results","Antibody","Rapid diagnostic test (RDT) with reader","Detection of current infection","Finecare SARS-CoV-2 Antibody test","Guangzhou Wondfo Biotech Co., Ltd","W276","F27614309AD","Serum","Total Ig","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","249","Not available","237","Not available","95.2","Not available","Not available","Not available","Not available"
"Bacteriology and Hygiene Bicetre Laboratory Hospital","Hospital","France","Kremlin-Bictre","Confirmed COVID-19 patients","Mild; Moderate; Severe; Critical","Nasopharyngeal swabs","Retrospective set","RT-PCR","No replicates","Blinded to reference results","Antibody","Rapid diagnostic test (RDT) with reader","Detection of current infection","Finecare SARS-CoV-2 Antibody test","Guangzhou Wondfo Biotech Co., Ltd","W276","F27614309AD","Serum","Total Ig","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","249","248","195","244","78.3","98.4","Not available","Not available","Not available"
"Bacteriology and Hygiene Bicetre Laboratory Hospital","Hospital","France","Kremlin-Bictre","Confirmed COVID-19 patients","Mild; Moderate; Severe; Critical","Nasopharyngeal swabs","Retrospective set","RT-PCR","No replicates","Blinded to reference results","Antibody","Rapid diagnostic test (RDT)","Detection of current infection","2019-nCoV IgG/IgM Rapid Test Cassette","AutoBio Diagnostics","RTA0202","21C22-J01","Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","62","Not available","56","Not available","90.3","Not available","Not available","Not available","Not available"
"Bacteriology and Hygiene Bicetre Laboratory Hospital","Hospital","France","Kremlin-Bictre","Confirmed COVID-19 patients","Mild; Moderate; Severe; Critical","Nasopharyngeal swabs","Retrospective set","RT-PCR","No replicates","Blinded to reference results","Antibody","Rapid diagnostic test (RDT)","Detection of current infection","2019-nCoV IgG/IgM Rapid Test Cassette","AutoBio Diagnostics","RTA0202","21C22-J01","Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","249","248","184","233","73.9","94","Not available","Not available","Not available"
"Bacteriology and Hygiene Bicetre Laboratory Hospital","Hospital","France","Kremlin-Bictre","Confirmed COVID-19 patients","Mild; Moderate; Severe; Critical","Nasopharyngeal swabs","Retrospective set","RT-PCR","No replicates","Blinded to reference results","Antibody","Rapid diagnostic test (RDT)","Detection of current infection","2019-nCoV IgG/IgM Rapid Test Cassette","Avioq Bio-Tech Co., Ltd","Not available","20200201","Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","243","Not available","223","Not available","91.8","Not available","Not available","Not available","Not available"
"Bacteriology and Hygiene Bicetre Laboratory Hospital","Hospital","France","Kremlin-Bictre","Confirmed COVID-19 patients","Mild; Moderate; Severe; Critical","Nasopharyngeal swabs","Retrospective set","RT-PCR","No replicates","Blinded to reference results","Antibody","Rapid diagnostic test (RDT)","Detection of current infection","2019-nCoV IgG/IgM Rapid Test Cassette","Avioq Bio-Tech Co., Ltd","Not available","20200201","Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","244","238","166","225","68","94.5","Not available","Not available","Not available"
"Bacteriology and Hygiene Bicetre Laboratory Hospital","Hospital","France","Kremlin-Bictre","Confirmed COVID-19 patients","Mild; Moderate; Severe; Critical","Nasopharyngeal swabs","Prospectively collected set","RT-PCR","No replicates","Blinded to reference results","Antibody","Rapid diagnostic test (RDT)","Detection of current infection","SARS-CoV-2 Antibody Test (Lateral Flow Method)","Guangzhou Wondfo Biotech Co., Ltd","W195","W1900329","Serum","Total Ig","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Early (~1-7)","101","Not available","56","Not available","55.4","Not available","Not available","Not available","Not available"
"Bacteriology and Hygiene Bicetre Laboratory Hospital","Hospital","France","Kremlin-Bictre","Confirmed COVID-19 patients","Mild; Moderate; Severe; Critical","Nasopharyngeal swabs","Prospectively collected set","RT-PCR","No replicates","Blinded to reference results","Antibody","Rapid diagnostic test (RDT)","Detection of current infection","SARS-CoV-2 Antibody Test (Lateral Flow Method)","Guangzhou Wondfo Biotech Co., Ltd","W195","W1900329","Serum","Total Ig","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Intermediate (~8-14)","85","Not available","79","Not available","92.9","Not available","Not available","Not available","Not available"
"Bacteriology and Hygiene Bicetre Laboratory Hospital","Hospital","France","Kremlin-Bictre","Confirmed COVID-19 patients","Mild; Moderate; Severe; Critical","Nasopharyngeal swabs","Prospectively collected set","RT-PCR","No replicates","Blinded to reference results","Antibody","Rapid diagnostic test (RDT)","Detection of current infection","SARS-CoV-2 Antibody Test (Lateral Flow Method)","Guangzhou Wondfo Biotech Co., Ltd","W195","W1900329","Serum","Total Ig","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","63","Not available","58","Not available","92.1","Not available","Not available","Not available","Not available"
"Bacteriology and Hygiene Bicetre Laboratory Hospital","Hospital","France","Kremlin-Bictre","Confirmed COVID-19 patients","Mild; Moderate; Severe; Critical","Nasopharyngeal swabs","Prospectively collected set","RT-PCR","No replicates","Blinded to reference results","Antibody","Rapid diagnostic test (RDT)","Detection of current infection","SARS-CoV-2 Antibody Test (Lateral Flow Method)","Guangzhou Wondfo Biotech Co., Ltd","W195","W1900329","Serum","Total Ig","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","249","248","193","239","77.5","96.4","Not available","Not available","Not available"
"Guangdong Provincial Key Laboratory of Regional Immunity and Disease","Public Health","China","Shenzhen","Confirmed COVID-19 patients","Not available","Respiratory specimen","Prospectively collected set","Clinical examination; Epidemiologic criteria; RT-PCR","No replicates","Not available","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Not available","2019 Novel Coronavirus (2019-nCoV) IgM Antibody Detection Kit (ELISA Method)","Guangzhou Darui Biotechnology Co.,Ltd; Darui Biotech","Not available","Not available","Serum","IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","65","64","30","50","46.2","78.1","https://www.medrxiv.org/content/10.1101/2020.03.27.20045153v1.full.pdf","10.1101/2020.03.27.20045153","Not available"
"Clinical Laboratory, Clinica Alemana de Santiago","Hospital","Chile","Santiago","Symptomatic patients","Not available","Universal transport medium with nasopharyngeal swab","Retrospective set","RT-PCR","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Blinded to reference results","Antigen","Rapid diagnostic test (RDT)","Not available","BIOCREDIT COVID-19 Ag","RapiGEN Inc.","G61RHA20","H073001SD","Universal transport medium with nasopharyngeal swab","Not specified","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","79","30","49","30","62","100","Not available","Not available","Sensitivity analysis of subgroups with high and low viral loads Positive samples with: - Ct 25: 4/26 = 15.4%"
"Clinical Laboratory, Clinica Alemana de Santiago","Hospital","Chile","Santiago","Symptomatic patients","Not available","Universal transport medium with nasopharyngeal swab","Retrospective set","RT-PCR","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Blinded to reference results","Antigen","Rapid diagnostic test (RDT)","Not available","SARS-Cov-2 Antigen Fluorescence Rapid Detection Kit","Beijing Savant Biotechnology Co., Ltd","BCT-HKT-050","20031501","Universal transport medium with nasopharyngeal swab","N protein","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","78","31","13","31","16.7","100","Not available","Not available","Sensitivity analysis of subgroups with high and low viral loads Positive samples with: - Ct 25: 2/26 = 7.7%"
"Clinical Laboratory, Clinica Alemana de Santiago","Hospital","Chile","Santiago","Symptomatic patients","Not available","Universal transport medium with nasopharyngeal swab","Retrospective set","RT-PCR","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Blinded to reference results","Antigen","Rapid diagnostic test (RDT) with reader","Not available","Bioeasy 2019-nCoV Ag Fluorescence Rapid Test Kit (Time-Resolved Fluorescence)","Shenzhen Bioeasy Biotechnology Co., Ltd","YRLF04401025","2002N408","Universal transport medium with nasopharyngeal swab","Not specified","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","80","31","68","31","85","100","Not available","Not available","Sensitivity analysis of subgroups with high and low viral loads Positive samples with: - Ct 25: 14/26 = 53.8% 17 of 80 positive samples were included in former evaluation of same assay (also available on FIND)."
"National Reference center Respiratory Pathogens, UZ Leuven Laboratory for Clinical and Evolutionary Virology, Rega Institute, KU Leuven","Hospital","Belgium","Not available","Confirmed COVID-19 patients","Not available","Plasma; Serum","Retrospective set","RT-PCR","No replicates","Not available","Antibody","Rapid diagnostic test (RDT)","Detection of current infection; Detection of past infection","VivaDiag COVID-19 IgM/IgG Rapid Test","VivaChek Biotech (Hangzhou) Co., Ltd","Not available","Not available","Plasma; Serum","IgG; IgM","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Late (>14)","Not available","Not available","Not available","Not available","97.3","100","Not available","Not available","Not available"
"Nantong Third Hospital Affiliated to Nantong University, Clinical Laboratory","Public Health","China","Not available","Symptomatic patients","Not available","Pharyngeal swabs","Prospectively collected set","RT-PCR","Not available","Not available","Molecular","Integrated system","Not available","RainSure COVID-19 dPCR Detection Kit (lab-based)","RainSure Scientific Co., Ltd","Not available","Not available","Pharyngeal swabs","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","28","80","25","76","89.3","95","https://www.medrxiv.org/content/10.1101/2020.03.24.20042689v1.full.pdf","10.1101/2020.03.24.20042689","Target gene: ORF1ab"
"Centre National de Référence (CNR) Virus des Infections Respiratoires","Public Health","France","Paris","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","Molecular","Integrated system","Not available","Amplidiag COVID-19 Kit","Mobidiag","Not available","Not available","Nasopharyngeal swabs","Specimen without RNA extraction","Not available","Not available","Not available","Not available","Not available","Not available","39.4","Overall","8","2","8","2","100","100","https://www.sfm-microbiologie.org/2020/04/03/covid-19/","Not available","Ct value given is for weakest dilution pool. Amplification with BioRad CFX96"
"Centre National de Référence (CNR) Virus des Infections Respiratoires","Public Health","France","Paris","Confirmed COVID-19 patients","Not available","Respiratory specimen","Retrospective set","RT-PCR","Not available","Not available","Molecular","Manual PCR","Not available","The Novel Coronavirus (2019-nCoV) Nucleic Acid Test Kit","GeneFirst Ltd","Not available","Not available","Respiratory specimen","Frozen RNA","Not available","Not available","Not available","Not available","Not available","Not available","36.7","Overall","8","2","8","2","100","100","https://www.sfm-microbiologie.org/2020/04/03/covid-19/","Not available","Ct value reported is for weakest sample pool"
"Centre National de Référence (CNR) Virus des Infections Respiratoires","Public Health","France","Paris","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","Molecular","Manual PCR","Not available","iLAMP Novel-CoV19 Test Kit","ionebio","Not available","Not available","Nasopharyngeal swabs","Frozen RNA","Not available","Extraction NucleoSpin Dx Virus (Réf. Macherey Nagel 740895.50)","Not available","Not available","Not available","Not available","29.2","Overall","8","1","3","1","37.5","100","https://www.sfm-microbiologie.org/2020/04/03/covid-19/","Not available","Ct value reported for lowest concentration pooled sample detected"
"Centre National de Référence (CNR) Virus des Infections Respiratoires","Public Health","France","Paris","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","Molecular","Manual PCR","Not available","Bio-T kit SARS-CoV-2","biosellal","Not available","Not available","Nasopharyngeal swabs","Frozen RNA","Not available","Extraction NucleoSpin Dx Virus (Réf. Macherey Nagel 740895.50)","Not available","Not available","Not available","Not available","38","Overall","8","1","8","1","100","100","https://www.sfm-microbiologie.org/2020/04/03/covid-19/","Not available","Ct value reported is for weakest sample pool Amplification on ABI 7500 Fast Target: Gene E; ORF1ab"
"Centre National de Référence (CNR) Virus des Infections Respiratoires","Public Health","France","Paris","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","Molecular","Manual PCR","Not available","Bio-T kit Covid-19","biosellal","Not available","Not available","Nasopharyngeal swabs","Frozen RNA","Not available","Extraction NucleoSpin Dx Virus (Réf. Macherey Nagel 740895.50)","Not available","Not available","Not available","Not available","37.4","Overall","8","Not available","8","Not available","100","Not available","https://www.sfm-microbiologie.org/2020/04/03/covid-19/","Not available","Ct value reported for most dilute pool Amplification on ABI 7500 Fast One target only"
"Centre for Drugs and Diagnostics, Liverpool School of Tropical Medicine","Hospital","Great Britain","London","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Prospectively collected set","RT-PCR","No replicates","Not blinded to reference results","Antibody","Enzyme-linked immunosorbent assay (ELISA)","Not available","COVID-19 IgG ELISA","Mologic Ltd","Not available","Not available","Serum","IgG","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Overall","270","564","238","549","88.1","97.3","https://www.medrxiv.org/content/10.1101/2020.04.29.20082099v1.full.pdf","10.1101/2020.04.29.20082099","Note, manufacturer is among authors. Sensitivity: Total SARS-CoV-2 positive samples ranging from day 0 - 42 post laboratory diagnosis with RT-PCR Specificity: Total SARS-CoV-2 negative samples ranging from 2018 - 2019"
"Centre National de Référence (CNR) Virus des Infections Respiratoires","Public Health","France","Paris","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","Molecular","Manual PCR","Not available","Lyra SARS-CoV-2 Assay","Quidel","Not available","Not available","Nasopharyngeal swabs","Frozen RNA","Not available","Extraction NucleoSpin Dx Virus (Réf. Macherey Nagel 740895.50)","Not available","Not available","Not available","Not available","27.7","Overall","8","1","6","0","75","0","https://www.sfm-microbiologie.org/wp-content/uploads/2020/04/Rapport_Lyra-Quidel_VE200416.pdf","Not available","Ct value reported for lowest detectable concentration of pooled sample Amplification: ABI 7500 (also with LightCycler 480, but lower sensitivity)"
"Centre National de Référence (CNR) Virus des Infections Respiratoires","Public Health","France","Paris","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","Molecular","Manual PCR","Not available","IDNCOV-2","idSOLUTIONS","Not available","Not available","Nasopharyngeal swabs","Frozen RNA","Not available","Extraction NucleoSpin Dx Virus (Réf. Macherey Nagel 740895.50)","Not available","Not available","Not available","Not available","35.5","Overall","8","1","8","1","100","100","https://www.sfm-microbiologie.org/2020/04/03/covid-19/","Not available","Ct value reported for lowest detectable concentration of pooled sample"
"Centre National de Référence (CNR) Virus des Infections Respiratoires","Public Health","France","Paris","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","Molecular","Manual PCR","Not available","OPTI SARS-CoV-2 RT-PCR Test","OPTIMedical","Not available","Not available","Nasopharyngeal swabs","Frozen RNA","Not available","Extraction NucleoSpin Dx Virus (Réf. Macherey Nagel 740895.50)","Not available","Not available","Not available","Not available","34.7","Overall","8","1","8","1","100","100","https://www.sfm-microbiologie.org/2020/04/03/covid-19/","Not available","Ct value reported for lowest detectable concentration of pooled sample Amplification on LightCycler480"
"Centre National de Référence (CNR) Virus des Infections Respiratoires","Public Health","France","Paris","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","Molecular","Manual PCR","Not available","Corona Virus Disease 2019 (COVID-19) Nucleic Acid Detection Kit","EXCILONE SARL","Not available","Not available","Nasopharyngeal swabs","Frozen RNA","Not available","Extraction NucleoSpin Dx Virus (Réf. Macherey Nagel 740895.50)","Not available","Not available","Not available","Not available","31.7","Overall","8","1","7","1","87.5","100","https://www.sfm-microbiologie.org/2020/04/03/covid-19/","Not available","Ct value reported for lowest detectable concentration of pooled sample Amplification by LightCycler 480 II outperformed ABI 7500; results here given for LightCycler 480 II"
"Centre National de Référence (CNR) Virus des Infections Respiratoires","Public Health","France","Paris","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","Molecular","Manual PCR","Not available","EurobioPlex SARS-CoV-2 Multiplex","Eurobio Scientific","Not available","Not available","Nasopharyngeal swabs","Frozen RNA","Not available","Extraction NucleoSpin Dx Virus (Réf. Macherey Nagel 740895.50)","Not available","Not available","Not available","Not available","35.5","Overall","7","1","7","1","100","100","https://www.sfm-microbiologie.org/2020/04/03/covid-19/","Not available","Not available"
"Centre National de Référence (CNR) Virus des Infections Respiratoires","Public Health","France","Paris","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","Molecular","Manual PCR","Not available","SARS-CoV-2 Real Time PCR LAB-KIT?","BIOMAXIMA S.A.","Not available","Not available","Nasopharyngeal swabs","Frozen RNA","Not available","Extraction NucleoSpin Dx Virus (Réf. Macherey Nagel 740895.50)","Not available","Not available","Not available","Not available","38.1","Overall","7","1","7","1","100","100","https://www.sfm-microbiologie.org/2020/04/03/covid-19/","Not available","Ct value reported for lowest detectable concentration of pooled sample"
"Centre National de Référence (CNR) Virus des Infections Respiratoires","Public Health","France","Paris","Confirmed COVID-19 patients","Not available","Nasopharyngeal swabs","Retrospective set","RT-PCR","High concentration pools: tested once; Low/neg concentration pools: tested in triplicate","Not available","Molecular","Manual PCR","Not available","Q-Sensü¾¼ 2019-nCoV Detection Kit","Cancer Rop Co., Ltd.","Not available","Not available","Nasopharyngeal swabs","Frozen RNA","Not available","Extraction NucleoSpin Dx Virus (Réf. Macherey Nagel 740895.50)","Not available","Not available","Not available","Not available","36.7","Overall","8","1","8","1","100","100","https://www.sfm-microbiologie.org/2020/04/03/covid-19/","Not available","Test provider: Medlane France Amplification on ABI 7500"
